C	M04282:77:000000000-C3GLD:1:1101:18720:1935	34924	106	8825:8 1329799:1 8825:1 1329799:1 8825:27 9126:5 192204:1 28725:9 34924:23
C	M04282:77:000000000-C3GLD:1:1101:18720:1935	34924	106	8825:8 1329799:1 8825:1 1329799:1 8825:27 9126:5 192204:1 28725:9 34924:23
C	M04282:77:000000000-C3GLD:1:1101:18720:1935	34924	106	8825:8 1329799:1 8825:1 1329799:1 8825:27 9126:5 192204:1 28725:9 34924:23
C	M04282:77:000000000-C3GLD:1:1101:18720:1935	34924	106	8825:8 1329799:1 8825:1 1329799:1 8825:27 9126:5 192204:1 28725:9 34924:23
C	M04282:77:000000000-C3GLD:1:1101:18720:1935	34924	106	8825:8 1329799:1 8825:1 1329799:1 8825:27 9126:5 192204:1 28725:9 34924:23
C	M04282:77:000000000-C3GLD:1:1101:18720:1935	34924	106	8825:8 1329799:1 8825:1 1329799:1 8825:27 9126:5 192204:1 28725:9 34924:23
C	M04282:77:000000000-C3GLD:1:1101:18720:1935	34924	106	8825:8 1329799:1 8825:1 1329799:1 8825:27 9126:5 192204:1 28725:9 34924:23
C	M04282:77:000000000-C3GLD:1:1101:18720:1935	34924	106	8825:8 1329799:1 8825:1 1329799:1 8825:27 9126:5 192204:1 28725:9 34924:23
C	M04282:77:000000000-C3GLD:1:1101:18720:1935	34924	106	8825:8 1329799:1 8825:1 1329799:1 8825:27 9126:5 192204:1 28725:9 34924:23
C	M04282:77:000000000-C3GLD:1:1101:18720:1935	34924	106	8825:8 1329799:1 8825:1 1329799:1 8825:27 9126:5 192204:1 28725:9 34924:23
U	M04282:77:000000000-C3GLD:1:1113:22197:22710	0	106	0:76
U	M04282:77:000000000-C3GLD:1:1113:22197:22710	0	106	0:76
U	M04282:77:000000000-C3GLD:1:1113:22197:22710	0	106	0:76
C	M04282:77:000000000-C3GLD:1:1116:14559:2415	9940	106	1437010:2 9963:3 91561:1 9963:1 91561:26 9963:4 35500:1 9963:1 35500:2 9963:1 314145:1 9963:1 314145:6 9940:23 9963:1 9940:1 35500:1
C	M04282:77:000000000-C3GLD:1:1116:14559:2415	9940	106	1437010:2 9963:3 91561:1 9963:1 91561:26 9963:4 35500:1 9963:1 35500:2 9963:1 314145:1 9963:1 314145:6 9940:23 9963:1 9940:1 35500:1
C	M04282:77:000000000-C3GLD:1:1116:14559:2415	9940	106	1437010:2 9963:3 91561:1 9963:1 91561:26 9963:4 35500:1 9963:1 35500:2 9963:1 314145:1 9963:1 314145:6 9940:23 9963:1 9940:1 35500:1
C	M04282:77:000000000-C3GLD:1:1108:23753:5286	69293	106	1489872:1 123368:1 1489922:6 8111:1 1489922:1 8111:4 69291:20 69293:31 69291:10 1489922:1
C	M04282:77:000000000-C3GLD:1:1108:23753:5286	69293	106	1489872:1 123368:1 1489922:6 8111:1 1489922:1 8111:4 69291:20 69293:31 69291:10 1489922:1
C	M04282:77:000000000-C3GLD:1:1108:23753:5286	69293	106	1489872:1 123368:1 1489922:6 8111:1 1489922:1 8111:4 69291:20 69293:31 69291:10 1489922:1
C	M04282:77:000000000-C3GLD:1:1108:23753:5286	69293	106	1489872:1 123368:1 1489922:6 8111:1 1489922:1 8111:4 69291:20 69293:31 69291:10 1489922:1
C	M04282:77:000000000-C3GLD:1:1108:23753:5286	69293	106	1489872:1 123368:1 1489922:6 8111:1 1489922:1 8111:4 69291:20 69293:31 69291:10 1489922:1
C	M04282:77:000000000-C3GLD:1:1108:23753:5286	69293	106	1489872:1 123368:1 1489922:6 8111:1 1489922:1 8111:4 69291:20 69293:31 69291:10 1489922:1
C	M04282:77:000000000-C3GLD:1:1109:27158:14904	8010	106	186625:9 117571:1 8010:1 117571:1 8010:64
C	M04282:77:000000000-C3GLD:1:1109:27158:14904	8010	106	186625:9 117571:1 8010:1 117571:1 8010:64
C	M04282:77:000000000-C3GLD:1:1109:27158:14904	8010	106	186625:9 117571:1 8010:1 117571:1 8010:64
C	M04282:77:000000000-C3GLD:1:1109:27158:14904	8010	106	186625:9 117571:1 8010:1 117571:1 8010:64
C	M04282:77:000000000-C3GLD:1:1109:27158:14904	8010	106	186625:9 117571:1 8010:1 117571:1 8010:64
C	M04282:77:000000000-C3GLD:1:1109:27158:14904	8010	106	186625:9 117571:1 8010:1 117571:1 8010:64
